,Document Title,PublicationAvenue,Publication Year,Abstract,Article Citation Count
118,Improving functional/diagnostic testing using model-based reasoning,1998 IEEE AUTOTESTCON Proceedings. IEEE Systems Readiness Technology Conference. Test Technology for the 21st Century (Cat. No.98CH36179),1998,"The most difficult and time-consuming portion of test program development is the diagnostic element. Because of this difficulty, diagnostics are often foregone in the production/maintenance test environment This results in a rework pile of test items that usually become scrapped because manual troubleshooting is too labor-intensive and available technician time is too scarce. A solution to this dilemma is to implement diagnostics in the production/maintenance test environment using a simplified approach: model-based diagnostic reasoning. This paper will describe how to use model-based diagnostics to uncouple the diagnostic logic from the test logic. It will describe how design and test data can be merged to form a Diagnostic Knowledge Base (DKB) The Diagnostician, a commercial off the shelf (COTS) software tool, works with the DKB as part of the test program. The Diagnostician provides the model-based reasoning at runtime. This will allow the unit under test (UUT) design changes to be easily implemented into the diagnostic test program without extensive software changes. By having a different DKB for each revision level, diagnostics can be performed by keying on the revision of the UUT with the same test program.",2
119,6th ICSE workshop on component-based software engineering: automated reasoning and prediction,"25th International Conference on Software Engineering, 2003. Proceedings.",2003,"Component-based technologies and processes have been deployed in many organizations and in many fields over the past several years. However, modeling, reasoning about, and predicting component and system properties remains challenging in theory and in practice. CBSE6 builds on previous workshops in the ICSE/CBSE series, and in 2003 is thematically centered on automated composition theories. Composition theories support reasoning about, and predicting, the runtime properties of assemblies of components. Automation is a practical necessity for applying composition theories in practice. Emphasis is placed in this workshop on composition theories that are well founded theoretically, are verifiable or falsifiable, automated by tools, and supported by practical evaluation.",1
120,Joint Visual Perception and Linguistic Commonsense for Daily Events Causality Reasoning,2022 IEEE International Conference on Multimedia and Expo (ICME),2022,"Multimodal networks that juxtapose visual and linguistic modalities are currently widely adopted for solving vision-and-language tasks. They perform well in simple and intu-itive tasks, but are prone to mistakes in tasks involving latent or implicit details, due to the difficulty of capturing crucial but imperceptible visual signals in the real world. Perception errors lead to nonsensical results, but can be corrected by commonsense knowledge. To this end, we combine visual perception and linguistic commonsense to solve the challenging daily events causality reasoning task. We propose a novel Object-Aware Reasoning Network to focus on object inter-action while ignoring distracting information to refine visual perception. Further, a language branch with an independent prediction head is supervised to learn causality commonsense to help correct obvious perception errors, resulting in more plausible conclusions. Extensive experiments demonstrate that our method achieves new state-of-the-art results on Vis-Causal dataset.",0
121,A framework of software requirements quality analysis system using case-based reasoning and Neural Network,"2012 6th International Conference on New Trends in Information Science, Service Science and Data Mining (ISSDM2012)",2012,"In this paper, we propose a new approach to Software Requirements Specifications (SRS) or software requirements quality analysis process. We apply the Software Quality Assurance (SQA) audit technique in determining whether or not the required quality standards within the requirements specifications phase are being followed closely. Quality analysis of the SRS is performed to ensure that the software requirements among others are complete, consistent, correct, modifiable, ranked, traceable, unambiguous, and understandable. Here, a new approach that combines case-based reasoning (CBR) and neural network techniques in analyzing SRS quality is proposed. This approach is used in improving the process of analyzing the quality of a given SRS document for a specific project. The CBR technique is used to evaluate the requirements quality by referring to previously stored software requirements quality analysis cases (past experiences). CBR is an artificial intelligence technique that reasons by remembering previously experienced cases, and this technique will speed up the quality analysis process. Neural Network (Artificial Neural Network or ANN) is the type of information processing paradigm that is inspired by the way biological nervous systems (brain) process information. Neural network technique works well with CBR because it also uses examples to solve problems. The new approach proposed in this research aims at enhancing and improving existing methods in analyzing SRS quality. A framework of the proposed approach is the main outcome of this research study.",1
122,Reasoning on Requirements Knowledge to Support Creativity,2009 Second International Workshop on Managing Requirements Knowledge,2009,"Developing innovative products is an important challenge for companies these days. Meanwhile it is in requirements engineering widely recognized that requirements elicitation has to go beyond mere recording of knowledge, rather is has to be an active process where new ideas are created. Thus, creativity is an important issue in requirements engineering. While so far tool support for creativity focused mainly on recording the creative outcome or providing relevant knowledge, we will describe an approach where tool support is used to actively support people in the creation of ideas.",4
123,From AutomationML to ROS: A model-driven approach for software engineering of industrial robotics using ontological reasoning,2016 IEEE 21st International Conference on Emerging Technologies and Factory Automation (ETFA),2016,"One of the major investment for applying industrial robots in production resides in the software development, which is an interdisciplinary and heterogeneous engineering process. This paper presents a novel model-driven approach that uses AutomationML as modeling framework and ontological reasoning as inference framework for constructing robotic application using Robot Operating System (ROS). We show how different robotic components can be classified and modeled with AutomationML, how these components can be composed together to a production system, and how the AutomationML models can be processed semantically by utilizing Semantic Web technologies and ontological reasoning. By applying model-to-text transformation techniques, executable ROS code can be generated from the models that foster fast prototyping and the reuse of robotic software.",21
124,Verification of C Programs Using Automated Reasoning,Fifth IEEE International Conference on Software Engineering and Formal Methods (SEFM 2007),2007,"Much of the embedded software development market has necessarily tight constraints on program size and processor power, hence developers use handwritten C rather than autocode. They rely primarily on testing to find errors in their code. We have an established software development tool known commercially as Perfect Developer, which uses a powerful automatic theorem prover and inference engine to reason about requirements and specifications. We have found that automated reasoning can be used to discharge a very high proportion of verification conditions arising from the specification and refinement of software components described in our formal specification language, Perfect. The Perfect Developer tool set can also generate code in a C++ subset or in Java, and the output code is then virtually certain to meet the stated specification, reducing the need for exhaustive testing. However, this is not helpful to developers of embedded software who are constrained to write code by hand. We therefore decided to investigate whether automated reasoning could provide a similar degree of success in the verification of annotated C code. We present our preliminary findings.",10
125,"Automating programming via concept mining, probabilistic reasoning over semantic knowledge base of SE domain",2010 6th Central and Eastern European Software Engineering Conference (CEE-SECR),2010,"Software engineering is at the very start of it's automation. There are a lot of helpers, code-generators, IDE-s and so on that does not really help to automate the complete software development life-circle from Functional requirements specification till the actual code. We explore the idea to generate the actual software solution using standard Functional requirements specification, change request or bug-report in three main modules: linguistic, perceiving and solution generation with heavily used knowledge base in OWL (web ontology language).",3
126,Software Project Profitability Analysis Using Temporal Probabilistic Reasoning,2008 Advanced Software Engineering and Its Applications,2008,"Providing viable estimates, understanding project requirements and doing proper risk management on software projects require extensive application and sophisticated techniques of analysis and interpretation. There is still a lack of informative techniques and feedback mechanisms that help to assess how well and efficiently a specific development methodology is performing. Analyzing project tasks would enhance how well individual tasks are estimated, how well they are defined, and whether items are completed on-time and on-budget. In this work, we propose a temporal probabilistic model that addresses feedback control mechanisms in project planning using the complex adaptive systems software engineering framework (CASSE). We have tested our approach in industry with a software development company in South Africa on two commercial project evaluations. Our preliminary results show that the temporal probabilistic model of the framework demonstrably enhances practitionerspsila understanding in managing software projects profitably - hence increasing business sustainability and management.",2
127,Intelligent Diagnostic Reasoning System deployment process and results,2008 IEEE AUTOTESTCON,2008,"Lockheed Martin Simulation, Training & Support (LM STS) has developed an Intelligent Diagnostic Reasoning System (IDRS) that can reduce the time and cost to diagnose a failure by isolating to the fault more quickly and reducing callout ambiguity. IDRS uses engineering knowledge and historical test and maintenance data to develop diagnostic models enabling intelligent decision support. IDRS models and services are based on the IEEE 1232trade Artificial Intelligence Exchange and Service Tie to All Test Environment (AI-ESTATE) standard. IDRS is deployed at Ogden Air Logistics Center (OO-ALC) through a partnership between LM STS and OO-ALC 309th Maintenance Wing (309 MXW) Software Maintenance Group and Electronics Maintenance Group at Hill Air Force Base. This paper will outline the selection of the Line Replaceable Unit (LRU), the deployment of IDRS, the results obtained, and the benefits of IDRS.",1
128,Fish diseases control system using case-based reasoning,2010 International Conference on Distributed Frameworks for Multimedia Applications,2010,"At the present time, fish disease information in Indonesia is limited and just documented partially in research reports, journals, and books. Otherwise, the latest and complete information about problem of fish disease were difficult to get by fish farmers, related agencies, and research groups. The limited dissemination of information on fish diseases had caused difficulties to controlling fish diseases in Indonesia. Therefore, it was needed to develop the computer programs or software to identify and controlling fish diseases in Indonesia. Software design method was using Based Reasoning Case (CBR). CBR scheme includes retrieve, reuse, revise, and retain. The retrieve stage of the cases used the nearest neighbor technique. This system has been built conceptually as basis for further programming development. By these methods, a variety of fish disease cases will be processed by computer systems based on similar cases that occurred formerly, and will be given the appropriate solution.",1
129,A Software Cost Ontology System for Assisting Estimation of Software Project Effort for Use with Case-Based Reasoning,2006 Innovations in Information Technology,2006,"Software project cost and effort estimation has become an increasingly important field in the past years due to the overwhelming role of software in today's global market. Several studies have been dedicated to create models in order to estimate the effort of software development. Most of the studies focused on expert judgment, analogy, parametric and algorithmic methods, bottom-up methods, and top-down methods. Nearly all estimating methods need information about how projects have been implemented in the past. However, this information may be of limited use to estimators, as there are uncertainties in the way that various terms, variables and factors are being interpreted. Two projects that may seem similar may indeed be different in a critical way. Moreover, the uncertainty in assessing similarities and differences means that two different analysts could develop significantly different views and effort estimates. The major contributions this paper makes are: 1) identification of an ontology-based cost estimation process framework for defining the semantics of project development data; 2) introduce the culture factor as it affects the software effort estimation; and 3) development of a software effort estimation ontology system (SEEOS) for use in estimating software project cost in a group of organizations. The system establishes a set of common project parameters between different projects and provides a common understanding of project parameters and their semantics. This system enables project managers to elicit software project features that are semantically compatible with new project requirements. The system has been implemented using Java and a relational database management system and data which have been collected from within UAE companies using an online system",8
130,An application of structural modeling and automated reasoning to concurrent program design,[1989] Proceedings of the Twenty-Second Annual Hawaii International Conference on System Sciences. Volume II: Software Track,1989,"An application of structural modeling and automated reasoning as an intelligent software development environment for concurrent programs is presented. This application, using an integration of software reuse and theorem-proving methods, synthesizes an absolutely correct program and increases software productivity. The concurrent programs are described by a Prolog-based concurrent object-oriented language called MENDEL/87. The functional part of the reusable component is generated by structural modeling, and the synchronization part is synthesized from temporal-logic specifications by the use of an automated-reasoning mechanism. A description is also given of the MENDELS ZONE, implemented on a Prolog machine, which is the working base of the method.<>",4
131,Applying case reuse and rule-based reasoning (RBR) in object-oriented application framework documentation: Analysis and design,2008 Conference on Human System Interactions,2008,"The main objective of an object-oriented application framework is to promote the reuse of both design and code in the development of new applications. The use of a framework will significantly decrease the amount of time taken for developing new applications. However, new framework users find that the documentation provided along with a framework is usually not very effective for new users. So, in this paper, we decided to apply another form of reuse, which is information reuse, to framework documentation. In order to come up with new solutions to new problems posed by the framework users, our proposed documentation approach will reuse previously documented cases, which have solved similar framework usage problems in the past. This requires the documentation system to be capable of understanding and learning from past experiences. We believe that with the reuse of past cases for solving new problems, new framework users will be able to dramatically improve their software development performance. The use of rule-based reasoning and genetic algorithms will optimize the case search and case adaptation process.",3
132,Verification of Intelligent Agents with ACTL for Epistemic Reasoning,2006 International Conference on Computational Inteligence for Modelling Control and Automation and International Conference on Intelligent Agents Web Technologies and International Commerce (CIMCA'06),2006,"Verification of multi-agent systems (MAS) is a huge challenge, especially for those systems where security and safety are of major importance. Verification detects faults, defects and drawbacks in an early stage of software development. Here, we give a formal model for verification of MAS by means of model checking technique. We extend the existing action computation tree logic (ACTL) with epistemic operators in order to reason about knowledge properties of MAS. We introduce new operators for manipulation on agent's actions with data. We explain their syntax and semantics for our ACTL-er (ACTL for epistemic reasoning), and provide a case study for a MAS system of foraging bees.",1
133,Reasoning about Stakeholder Groups for Requirements Negotiation Based on Power Relationships,2013 20th Asia-Pacific Software Engineering Conference (APSEC),2013,"With the increasing complexity and uncertainty in requirements engineering (RE), the impact of power relationships between stakeholders becomes critical to the success of requirements engineering process, especially in requirements negotiation to resolve conflicting requirements. In this paper, we make use of the basic principles of requirements negotiation and define reasoning rules to reason about stakeholder groups for requirements negotiation, based on an extended i modeling framework that represents the power relationships between stakeholders in RE. We derive decision-makers and supporter groups of conflicting requirements using the reasoning rules based on power relationships between stakeholders, and further reason about representative stakeholders from the supporter groups to participate in requirements negotiation activity. We describe the reasoning process and provide a concrete case of reasoning about stakeholder groups for requirements negotiation based on the extended i model.",4
134,Reasoning about integration issues during requirements definition: a knowledge-based approach,Proceedings of the Second International Conference on Systems Integration,1992,"In practice, requirements engineering is not just a front-end to the system development process but a complex communication and negotiation process involving both the customers and the vendors. Further, an envisioned system is seldom defined without considering the customer's embedded base and off-the-shelf vendor solutions. A key problem in requirements engineering is to determine and track the dependencies between an envisioned system's requirements and the characteristics of related systems. Integration is an essential element of requirements definition. The authors present requirements modeling framework, i.e. a representation scheme to capture system requirements information in a knowledge base. They illustrate how the features of the framework express dependencies among system specifications and facilitate simple integration analyses during requirements definition. The framework is the basis for a requirements assistant, a software tool that enables an analyst to create, analyze and modify requirements information in a knowledge base.<>",2
135,A metamodeling approach for reasoning on multiple requirements models,2013 17th IEEE International Enterprise Distributed Object Computing Conference,2013,"The complex software development projects of today may require developers to use multiple requirements engineering approaches. Different teams may have to use different requirements modeling formalisms to express requirements related to their assigned parts of a given project. This situation poses difficulties in achieving interoperability and integration of requirements models for the purpose of reasoning on the overall system requirements. It is challenging to compose distributed models expressed in different notations and to reason on the composed models. In this paper we present a metamodeling approach which allows reasoning about requirements and their relations on the whole/composed models expressed in different requirements modeling approaches. In a previous work we expressed the structure of requirements documents as a requirements metamodel in which the most important elements are requirements relations and their types. The semantics of these elements is given in First Order Logic (FOL) and allows two activities: inferring new relations from the initial set of relations and checking consistency of relations. In this work we use the requirements metamodel as a core metamodel to be specialized for different requirements modeling approaches and notations such as Product-line and SysML. Mainly, the requirements relations in the metamodel are specialized to support relations in different requirements modeling approaches. The specialization allows using the same semantics and reasoning mechanism of the core metamodel for multiple requirements modeling approaches. To illustrate the approach we use an example from automotive domain expressed with two modeling approaches: product-line requirements models and SysML for system requirements.",6
136,A methodology for preprocessing data for application of case based reasoning,2012 XXXVIII Conferencia Latinoamericana En Informatica (CLEI),2012,"Produce quality software inside expected time and low cost has been one of the main challenges in the software industry today. Therefore, it is fundamental make estimates of size, effort, resources, cost and time spent in the software development process. Predictive models such as models based on analogy can be an alternative, especially in small and medium sized software development, they need perform reliable estimates. In this paper, we propose a methodology for pre-processing of data for use in software effort estimation. The results of use this methodology, applying Case Based Reasoning - CBR, indicate that the pre-processing enables to improve the accuracy of estimates.",2
137,An intelligent assistant for software information checking using a non-monotonic reasoning system,[1989] Proceedings of the Twenty-Second Annual Hawaii International Conference on System Sciences. Volume II: Software Track,1989,"The knowledge representation of software component relations using nonmonotonic logic to assist the validity and integrity checking of software information is presented. Software components and their interconnection information are represented by axioms that exhibit the structure and behavior of the software system. Another set of axioms represents the basic truisms about a software system in general. These axioms can easily be extended to cover a wide variety of software systems architectures. In the software development and maintenance phases, information about the software system can be derived from these axioms using an automated reasoning system, and the software system itself can easily be checked against a specification of the system and compared for validity. This knowledge-based system will provide programmers with useful software information and assist the software development and maintenance process.<>",0
138,Reasoning over the Evolution of Source Code Using Quantified Regular Path Expressions,2011 18th Working Conference on Reverse Engineering,2011,"Version control systems (VCS) have become indispensable to develop software. Next to their immediate advantages, they also offer information about the evolution of software and its development process. Despite this wealth of information, it has only been leveraged by tools that are dedicated to a specific software engineering task such as predicting bugs or identifying hotspots. General-purpose tool support for reasoning about the information contained in a version control system is limited. In this paper, we introduce the logic-based program query language ABSINTHE. It supports querying versioned software systems using logic queries in which quantified regular path expressions are embedded. These expressions lend themselves to specifying the properties that each individual version in a sequence of successive software versions ought to exhibit.",5
139,"Agents, Case-Based Reasoning and their relation to the Mexican Software Process Model (MoProSoft)",31st Annual International Computer Software and Applications Conference (COMPSAC 2007),2007,"The MoProSoft Integral Tool, or HIM for its name in Spanish, is a Web-designed system to support monitoring the MoProSoft, a software process model defined as part of a strategy to encourage the software industry in Mexico. The HIM-assistant, is a system added to the HIM, which main objectives are to give a guide for the automated use of the MoProSoft and improve the aid provided to the HIM users. To reach these objectives, elements from software engineering along with two areas of artificial intelligence, multi- agent systems and case based reasoning, were applied to develop the HIM-assistant. The task involved the HIM-assistant analysis and design phases using the MESSAGE methodology, as well as the development of the system and the performance of tests. The major importance of the work lies on the integration of different areas to fulfill the objectives, using existing progress instead of developing a totally new solution.",3
140,Reasoning about semantic Web in Isabelle/HOL,11th Asia-Pacific Software Engineering Conference,2004,"Semantic Web is regarded as the next generation of the World Wide Web. It provides not only the structure of the Web but also meaningful semantics for the information presented. To make semantic Web services understandable for distributed agents, formal definitions of the ontologies and their consistencies are essential. However, the existing tools for reasoning about semantic Web ontologies are still primitive. We believe that mature software engineering tools, such as theorem provers, can contribute to the reasoning phase. In this paper, we present an approach of encoding the semantic Web ontology (DAML+OIL) into the generic theorem prover Isabelle/HOL for automatic reasoning. Furthermore, a translation tool was developed to transform semantic Web ontologies into their extended Isabelle theories. With additional intermediate lemmas, Isabelle can be used to perform both subsumption (class) level and instantiation (instance) level reasoning of the semantic Web ontologies.",1
141,What is default reasoning good for? Applications revisited,Proceedings of the 32nd Annual Hawaii International Conference on Systems Sciences. 1999. HICSS-32. Abstracts and CD-ROM of Full Papers,1999,"Default reasoning comprises methods of reasoning with uncertain and incomplete information which share the idea of using default rules to represent plausible conclusions. Even though the applicational scope of default reasoning was clear right from the beginning, research focussed heavily on theoretical aspects and neglected for a long time pragmatic and applicational questions. This, coupled with a presentation that is usually too technical for potential applicants of this technology has led to the impression that default reasoning (and other forms of nonmonotonic reasoning) have very little relevance to practice. This paper seeks to counter this view. It describes the basic advantages of using defaults in the representation of information and in reasoning with information. And then it presents applications of default reasoning in various areas, such as software engineering, information retrieval, law, graphics design etc.",1
142,Engineering design support through case-based reasoning,IEE Colloquium on Intelligent Design Systems (Digest No. 1997/016),1997,"The potential application of case based reasoning (CBR) in design support is illustrated by means of three examples drawn from past and current research at the University of Paisley. The examples demonstrate the suitability of CBR in different aspects of design, different problem areas, and to meet different design goals. The examples are: a quality advisory system for the designer in the early stages of mechanical engineering design; the integration of case based reasoning with aspects of quality function deployment as a means of identifying suitable metrics in software engineering design; a domain and tool independent environment to support the traceability and documentation of the work of either a single designer or a design team in conceptual design.",1
143,A Case-Based Reasoning Method for Processing Model Recognition and Reuse in Program Comprehension,2006 International Conference on Computational Intelligence and Security,2006,"Applying cased-based reasoning (CBR) method in program understanding provides a practical route towards more powerful software engineering technology. A CBR approach to the recognition of model component is presented, and the whole reasoning process of the recognition is presented, including a case representation method and a matching algorithm. A prototype system named process model component recognition & reuse (PMCRR) is developed to implement model transformation and reconstruction. At last, an example is illustrated to check the efficiency of CBR method",0
144,Object-oriented model-based reasoning for diagnosing automated manufacturing systems,Proceedings IEEE International Symposium on Intelligent Control 1988,1988,"In automated manufacturing, availability is the percentage of time that a production system is functioning properly. The author addresses the problems of availability by exploring the feasibility of a class of diagnosis algorithm. To develop this approach, a range of theory used in other areas was surveyed and synthesized. Petri net analysis was applied to fault detection. Rule-based inference and model-based reasoning were applied to failure isolation and hypothesis validation. A large part of the effort was the use of object-oriented software engineering to integrate the pieces into a unified algorithm. A software system was developed to realize the advanced algorithm and applied to a case study manufacturing subsystem for evaluation and analysis.<>",0
145,Visually Reasoning about System and Resource Behavior,2016 IEEE/ACM 38th International Conference on Software Engineering Companion (ICSE-C),2016,"Understanding how software utilizes resources is an important software engineering task. Existing software comprehension approaches rarely consider how resource utilization affects system behavior. We present Perfume, a general-purpose tool to help developers understand how resource utilization impacts their systems' control flow. Perfume is broadly applicable, as it is configurable to parse a wide variety of execution log formats and applies to all resource types that can be represented numerically. Perfume mines temporal properties that hold over the logged executions and represents system behavior in a resource finite state automaton that satisfies the mined properties. Perfume's interactive interface allows the developers to understand system behavior and to formulate and test hypotheses about system executions. A controlled experiment with 40 students shows that Perfume effectively supports understanding and debugging tasks. Students using Perfume answered 8.3% more questions correctly than those using execution logs alone and did so 15.5% more quickly. Perfume is open source and deployed at http://perfume.cs.umass.edu/.",0
146,Reasoning about Human Intention Change for Individualized Runtime Software Service Evolution,2010 IEEE 34th Annual Computer Software and Applications Conference,2010,"While software evolution has been studied extensively in software engineering, few of these efforts have involved a systematic exploration of human epistemological attitudes, such as human desire and intention, as the driving force of software service evolution. Our work proposes a theoretical framework to monitor and reason about human intention and its changes, which in turn can be used to determine how software and services should evolve to be individualized and better serve each user. Extending the Situ framework, we explore the service satisfiability problem through sub-world coverage following Kripke semantics, which enjoys wide application in AI and other fields related to human epistemic reasoning.",7
147,Reasoning About Identifier Spaces: How to Make Chord Correct,IEEE Transactions on Software Engineering,2017,"The Chord distributed hash table (DHT) is well-known and often used to implement peer-to-peer systems. Chord peers find other peers, and access their data, through a ring-shaped pointer structure in a large identifier space. Despite claims of proven correctness, i.e., eventual reachability, previous work has shown that the Chord ring-maintenance protocol is not correct under its original operating assumptions. Previous work has not, however, discovered whether Chord could be made correct under the same assumptions. The contribution of this paper is to provide the first specification of correct operations and initialization for Chord, an inductive invariant that is necessary and sufficient to support a proof of correctness, and two independent proofs of correctness. One proof is informal and intuitive, and applies to networks of any size. The other proof is based on a formal model in Alloy, and uses fully automated analysis to prove the assertions for networks of bounded size. The two proofs complement each other in several important ways.",22
148,Transparent decision support using statistical reasoning and fuzzy inference,IEEE Transactions on Knowledge and Data Engineering,2006,"A framework for the development of a decision support system (DSS) that exhibits uncommonly transparent rule-based inference logic is introduced. A DSS is constructed by marrying a statistically based fuzzy inference system (FIS) with a user interface, allowing drill-down exploration of the underlying statistical support, providing transparent access to both the rule-based inference as well as the underlying statistical basis for the rules. The FIS is constructed through a ""pattern discovery"" based analysis of training data. Such an analysis yields a rule base characterized by simple explanations for any rule or data division in the extracted knowledge base. The reliability of a fuzzy inference is well predicted by a confidence measure that determines the probability of a correct suggestion by examination of values produced within the inference calculation. The combination of these components provides a means of constructing decision support systems that exhibit a degree of transparency beyond that commonly observed in supervised-learning-based methods. A prototype DSS is analyzed in terms of its workflow and usability, outlining the insight derived through use of the framework. This is demonstrated by considering a simple synthetic data example and a more interesting real-world example application with the goal of characterizing patients with respect to risk of heart disease. Specific input data samples and corresponding output suggestions created by the system are presented and discussed. The means by which the suggestions made by the system may be used in a larger decision context is evaluated",12
149,Learning Project Management Decisions: A Case Study with Case-Based Reasoning versus Data Farming,IEEE Transactions on Software Engineering,2013,"Background: Given information on just a few prior projects, how do we learn the best and fewest changes for current projects? Aim: To conduct a case study comparing two ways to recommend project changes. 1) Data farmers use Monte Carlo sampling to survey and summarize the space of possible outcomes. 2) Case-based reasoners (CBR) explore the neighborhood around test instances. Method: We applied a state-of-the data farmer (SEESAW) and a CBR tool ()'V2) to software project data. Results: CBR with )'V2 was more effective than SEESAW's data farming for learning best and recommended project changes, effectively reducing runtime, effort, and defects. Further, CBR with )'V2 was comparably easier to build, maintain, and apply in novel domains, especially on noisy data sets. Conclusion: Use CBR tools like )'V2 when data are scarce or noisy or when project data cannot be expressed in the required form of a data farmer. Future Work: This study applied our own CBR tool to several small data sets. Future work could apply other CBR tools and data farmers to other data (perhaps to explore other goals such as, say, minimizing maintenance effort).",9
150,DATESSO: Self-Adapting Service Composition with Debt-Aware Two Levels Constraint Reasoning,2020 IEEE/ACM 15th International Symposium on Software Engineering for Adaptive and Self-Managing Systems (SEAMS),2020,"The rapidly changing workload of service-based systems can easily cause under-/over-utilization on the component services, which can consequently affect the overall Quality of Service (QoS), such as latency. Self-adaptive services composition rectifies this problem, but poses several challenges: (i) the effectiveness of adaptation can deteriorate due to over-optimistic assumptions on the latency and utilization constraints, at both local and global levels; and (ii) the benefits brought by each composition plan is often short term and is not often designed for long-term benefits—a natural prerequisite for sustaining the system. To tackle these issues, we propose a two levels constraint reasoning framework for sustainable self-adaptive services composition, called DATESSO. In particular, DATESSO consists of a refined formulation that differentiates the ‘strictness’ for latency/utilization constraints in two levels. To strive for long-term benefits, DATESSO leverages the concept of technical debt and time-series prediction to model the utility contribution of the component services in the composition. The approach embeds a debt-aware two level constraint reasoning algorithm in DATESSO to improve the efficiency, effectiveness and sustainability of self-adaptive service composition. We evaluate DATESSO on a service-based system with real-world WS-DREAM dataset and comparing it with other state-of-the-art approaches. The results demonstrate the superiority of DATESSO over the others on the utilization, latency and running time whilst likely to be more sustainable.",1
